fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 195550	-0.663718881786917	4402	1964	9	5	17016000	1
20220910 195651	-0.854227190825622	3423	1666	19	5	17590000	2
20220910 195751	-0.555623859382467	6435	934	14	5	16976000	3
20220910 195841	-0.049588153474906	5931	79	9	5	16576000	4
20220910 195930	-0.863048658902699	6996	3336	13	5	15802000	5
20220910 200003	-0.435702209998271	7649	2699	4	5	16200000	6
20220910 200103	-0.34933815109689	5135	446	20	5	17016000	7
20220910 200139	-0.738925550576823	2364	1053	5	5	17714000	8
20220910 200229	-0.618308201679611	7500	1566	11	5	16228000	9
20220910 200307	-0.320804992070771	6753	1069	6	5	16228000	10
20220910 200403	-0.254482050295337	4268	402	14	5	17266000	11
20220910 200451	-0.935745532158762	6945	2866	20	5	16244000	12
20220910 200533	-0.54923052824568	4052	536	8	5	17266000	13
20220910 200627	-0.382657586938391	6316	1137	13	5	17016000	14
20220910 200702	-0.189319560083095	6955	145	5	5	16142000	15
20220910 200817	-0.99551648828201	3075	99	19	5	16834000	16
20220910 200915	-0.458810071812163	2544	1231	13	5	17030000	17
20220910 200948	-0.999630987476367	2753	1121	3	5	15758000	18
20220910 201044	-0.470710640918539	2275	1077	9	5	17660000	19
20220910 201118	-0.0154411126495246	2343	162	4	5	17416000	20
20220910 201214	-0.978841686369188	2338	900	12	5	18176000	21
20220910 201328	-0.999783470003832	2342	350	18	5	19384000	22
20220910 201448	-0.995577201533241	2316	195	20	5	19426000	23
20220910 201618	-0.979267231684634	2362	3	20	5	17822000	24
20220910 201734	-0.963338274589669	2310	331	16	5	19490000	25
20220910 201842	-0.955494812358127	2288	271	20	5	19930000	26
20220910 202009	-0.865907503939724	1901	270	20	5	20146000	27
20220910 202115	-0.706995179176378	2079	271	20	5	19994000	28
20220910 202224	-0.866196265148102	2021	279	19	5	19886000	29
20220910 202339	-0.661163080438911	1835	292	20	5	20378000	30
20220910 202501	-0.628449547884521	1732	278	20	5	20504000	31
20220910 202609	-0.714367552673604	1625	309	20	5	20626000	32
20220910 202740	-0.55017985150724	624	312	20	5	18938000	33
20220910 202847	-0.391405617374045	1460	303	20	5	20438000	34
20220910 202956	-0.707299420555359	1530	291	20	5	20268000	35
20220910 203101	-0.423575643417204	1641	337	20	5	20084000	36
20220910 203211	-0.319004699829386	1254	305	20	5	20410000	37
20220910 203313	-0.73819987151544	1692	311	14	5	20566000	38
20220910 203420	-0.751742642951311	1706	315	20	5	20400000	39
20220910 203522	-0.15805524059948	1622	305	15	5	20648000	40
20220910 203616	-0.477307231150339	1624	306	11	5	20628000	41
20220910 203717	-0.528322642679458	1634	305	15	5	20648000	42
20220910 203824	-0.549093542288845	1648	308	18	5	20486000	43
20220910 203921	-0.144440974200293	1402	277	13	5	20146000	44
20220910 204018	-0.313727434511353	1613	305	13	5	20648000	45
20220910 204117	-0.678755234951259	1615	305	13	5	20648000	46
20220910 204214	-0.122334411833039	1759	268	13	5	20418000	47
20220910 204239	0.00292149823679344	1313	316	14	5	0	48
20220910 204311	-0.10228561643343	2669	13	3	5	15758000	49
20220910 204403	-0.165501737630498	2065	226	9	5	19868000	50
20220910 204506	-0.620652841486564	1806	415	15	5	19104000	51
20220910 204613	-0.151660887919995	2244	277	18	5	19922000	52
20220910 204722	-0.489123170317549	1755	169	17	5	19592000	53
20220910 204825	-0.235463620334651	1661	284	15	5	20536000	54
20220910 204859	-0.187672270536036	1722	305	3	5	15758000	55
20220910 205003	-0.153091414832872	1983	224	13	5	19946000	56
20220910 205109	-0.366911735547792	1636	337	15	5	20084000	57
20220910 205204	-0.562144848644927	1643	233	10	5	20478000	58
20220910 205256	-0.130975284768784	2271	373	10	5	19414000	59
20220910 205355	-0.421662079477166	1647	250	13	5	20478000	60
20220910 205453	-0.593126134163978	2245	286	13	5	19906000	61
20220910 205559	-0.292384069145766	1805	273	17	5	20214000	62
20220910 205706	-0.968235990912945	949	287	20	5	19412000	63
20220910 205807	-0.304422912657511	551	275	14	5	18704000	64
20220910 205907	-0.728274043013614	1710	489	19	5	18922000	65
20220910 205949	-0.715669238351086	1661	316	7	5	20198000	66
20220910 210041	-0.509225588145293	1808	259	11	5	20298000	67
20220910 210145	-0.201257387304364	1573	330	20	5	19774000	68
20220910 210239	-0.640486409661336	1636	141	11	5	19400000	69
20220910 210344	-0.462401655418128	1315	282	15	5	20180000	70
20220910 210421	-0.537776762874969	1472	317	5	5	19432000	71
20220910 210519	-0.336689591603524	1612	167	11	5	19388000	72
20220910 210626	-0.907869536035398	1673	398	20	5	19410000	73
20220910 210725	-0.564026378208479	1523	304	13	5	20518000	74
20220910 210832	-0.267510777405139	1513	519	16	5	18684000	75
20220910 210932	-0.405426539689459	2690	294	11	5	18436000	76
20220910 211023	-0.416300634603689	1299	313	10	5	20582000	77
20220910 211112	-0.907723279035439	1492	204	9	5	20174000	78
20220910 211205	-0.829681216500916	1027	311	10	5	20366000	79
20220910 211309	-0.857595910795997	659	189	14	5	18188000	80
20220910 211343	-0.875898077254346	1564	321	4	5	17416000	81
20220910 211436	-0.804566268331093	1643	301	11	5	20644000	82
20220910 211528	-0.990812739645523	1515	233	10	5	20132000	83
20220910 211622	-0.782010541189626	1145	344	11	5	19678000	84
20220910 211713	-0.828114175436262	1669	232	10	5	20478000	85
20220910 211809	-0.935023491587653	1630	248	12	5	20478000	86
20220910 211857	-0.715892366796508	3132	317	10	5	17654000	87
20220910 211950	-0.44680191748034	1504	613	10	5	18340000	88
20220910 212057	-0.825229414969803	1594	306	16	5	20628000	89
20220910 212145	-0.23935549062668	6151	3074	20	5	17104000	90
20220910 212242	-0.631444569276081	1672	295	12	5	20630000	91
20220910 212342	-0.833671727136015	1803	881	20	5	18406000	92
20220910 212428	-0.517577868230239	7993	3996	20	5	16286000	93
20220910 212519	-0.128389197005815	2193	268	10	5	19932000	94
20220910 212613	-0.716747668490571	1654	307	11	5	20490000	95
20220910 212704	-0.442372017687383	1581	288	9	5	20574000	96
20220910 212759	-0.658920859411344	1646	306	8	5	20490000	97
20220910 212904	-0.597611167277935	1633	249	16	5	20478000	98
20220910 213003	-0.945617483284092	1149	209	11	5	19878000	99
20220910 213040	-0.0762562580583685	7997	3995	5	5	16286000	100
20220910 213157	-0.137170495290238	1683	264	18	5	20694000	101
20220910 213236	-0.071985327624051	7990	2078	5	5	16228000	102
20220910 213348	-0.164846335180786	1700	281	17	5	20622000	103
20220910 213449	-0.12509940950249	7992	290	18	5	16062000	104
20220910 213554	-0.138559722451591	1773	479	19	5	18810000	105
20220910 213656	-0.53009582416906	5380	2680	20	5	16988000	106
20220910 213756	-0.813409279745322	4532	1113	19	5	17016000	107
20220910 213856	-0.827579249863542	1559	311	12	5	20496000	108
20220910 213951	-0.99969212323685	1263	598	11	5	18378000	109
20220910 214056	-0.282856607390067	1425	264	15	5	20092000	110
20220910 214145	-0.323183650675836	7988	3991	9	5	16286000	111
20220910 214301	-0.81262814898387	1587	263	13	5	20572000	112
20220910 214337	-0.0292364042337926	7978	264	3	5	15758000	113
20220910 214431	-0.946372455905853	1928	207	9	5	19882000	114
20220910 214533	-0.546261507096332	4355	235	20	5	16878000	115
