fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220929 030001	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	954011	0.131068219171022	0.489299949435517	2978	812	14339	24050000	1
20220929 030021	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	954011	0.237950733980513	0.343254848429933	3955	151	11648	25190000	2
20220929 030048	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	954011	0.0963461361922673	0.685211192779243	7940	913	7998	26410000	3
20220929 030109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	954011	0.184358585485315	0.663970978297293	4395	662	10269	25390000	4
20220929 030121	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	26	TRUE	954011	0.292891176062287	0.40121968343854	5568	414	6278	25450000	5
20220929 030131	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	954011	0.281163965018874	0.741421097116545	6472	363	12398	24170000	6
20220929 030204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	954011	0.119629803536925	0.530472326995805	3453	509	6891	25820000	7
20220929 030246	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	954011	0.072798037546745	0.362782210968435	2617	765	11032	26420000	8
20220929 030844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2068	TRUE	954011	0.00510671730642207	0.802208666382358	1870	220	12856	25570000	9
20220929 030858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	954011	0.17857875733386	0.563080238094553	2141	32	5855	24690000	10
20220929 030919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	954011	0.16527593208116	0.95827985313721	4642	311	9908	26590000	11
20220929 030933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	954011	0.219679985099181	0.860091982660815	1301	705	10990	24900000	12
20220929 030959	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	954011	0.242609626282065	0.270052552185953	1065	524	9446	25190000	13
20220929 031043	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	954011	0.0386002080772887	0.976394982002676	6281	940	14589	23550000	14
20220929 031118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	195	TRUE	954011	0.0805933824938256	0.44727130995132	6935	424	13426	24430000	15
20220929 031150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	954011	0.0575426610423019	0.217518642339855	4955	1006	7432	25860000	16
20220929 031416	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	954011	0.0201628975106287	0.890282159065828	280	604	8277	26650000	17
20220929 031433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	954011	0.140705859939044	0.287315271310508	5622	196	5063	23080000	18
20220929 031445	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	31	TRUE	954011	0.268577906057704	0.791579623995349	7376	832	8668	24670000	19
20220929 031457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	13	TRUE	954011	0.200822338981554	0.600533917173743	527	79	13737	22130000	20
20220929 031528	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	132	TRUE	954011	0.0751395966051344	0.997830645093875	3557	234	9489	25750000	21
20220929 031616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	157	TRUE	954011	0.0509427022705826	0.63345808773923	2216	799	8301	2.7e+07	22
20220929 031817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	337	TRUE	954011	0.0197293708823264	0.516069409509373	1443	709	9099	27090000	23
20220929 032034	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	384	TRUE	954011	0.0488234761845901	0.498989260630286	2	777	8778	24450000	24
20220929 032101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	954011	0.054473217333412	0.525157210426778	7241	458	7322	25040000	25
20220929 032128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	954011	0.101407100628325	0.691757722190581	4042	945	7764	2.6e+07	26
20220929 032323	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	388	TRUE	954011	0.0123001421306382	0.530427547171735	2456	694	7112	25940000	27
20220929 032414	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	954011	0.0745569888370251	0.791761542964168	549	629	6782	26200000	28
20220929 032429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	954011	0.242249927013621	0.358291926038265	3102	288	13150	23940000	29
20220929 032619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	721	TRUE	954011	0.0192992002028475	0.792046939040518	2198	719	8384	26520000	30
20220929 032722	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	954011	0.036642433555025	0.841515758047586	1342	756	8096	26530000	31
20220929 032758	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	954011	0.0480386455397993	0.440344908456251	1822	767	9298	26930000	32
20220929 032930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	333	TRUE	954011	0.0150047184223959	0.556798759711487	2353	695	9212	26540000	33
